56.000000,0.000000,0.000000.1,0.089286,0.160714,0.035714,0.000000.2,1.000000
31.0,0.0,0.0,0.032257999999999995,0.12903199999999998,0.0,0.0,1.0
30.0,0.0,0.0,0.06666699999999999,0.13333299999999998,0.033333,0.0,1.0
75.0,0.0,0.0,0.026667000000000003,0.093333,0.013333000000000001,0.0,1.0
61.0,0.0,0.0,0.06557400000000001,0.147541,0.0,0.0,1.0
112.0,0.0,0.508929,0.008929000000000001,0.07142899999999999,0.008929000000000001,0.0,1.0
28.0,0.0,0.0,0.0,0.035713999999999996,0.035713999999999996,0.0,1.0
64.0,0.0,0.015625,0.03125,0.125,0.015625,0.0,1.0
62.0,0.0,0.0,0.112903,0.032257999999999995,0.0,0.0,1.0
29.0,0.0,0.0,0.0,0.172414,0.0,0.034483,1.0
43.0,0.0,0.0,0.023256,0.09302300000000001,0.023256,0.0,1.0
107.0,0.0,0.0,0.018692,0.130841,0.037383,0.0,1.0
48.0,0.0,0.0,0.083333,0.145833,0.020833,0.0,1.0
109.0,0.0,0.165138,0.045872,0.10091699999999999,0.027523000000000002,0.0,1.0
22.0,0.0,0.090909,0.090909,0.0,0.0,0.0,1.0
142.0,0.0,0.197183,0.119718,0.06337999999999999,0.028169,0.0,1.0
26.0,0.0,0.153846,0.0,0.0,0.0,0.0,1.0
124.0,0.0,0.225806,0.120968,0.048387,0.032257999999999995,0.0,1.0
52.0,0.0,0.307692,0.038462,0.038462,0.019231,0.0,1.0
52.0,0.0,0.0,0.0,0.076923,0.0,0.0,1.0
39.0,0.0,0.0,0.05128200000000001,0.153846,0.0,0.0,1.0
68.0,0.0,0.014706,0.029412,0.147059,0.0,0.0,1.0
49.0,0.0,0.0,0.081633,0.10204099999999999,0.0,0.0,1.0
55.0,0.0,0.0,0.0,0.072727,0.0,0.0,1.0
40.0,0.0,0.0,0.075,0.15,0.0,0.0,1.0
109.0,0.0,0.027523000000000002,0.055046000000000005,0.15596300000000002,0.018349,0.0,1.0
93.0,0.0,0.11828,0.032257999999999995,0.075269,0.010753,0.0,1.0
52.0,0.0,0.173077,0.019231,0.076923,0.019231,0.0,1.0
55.0,0.0,0.163636,0.036364,0.10909100000000001,0.018182,0.0,1.0
45.0,0.0,0.0,0.0,0.088889,0.0,0.0,1.0
50.0,0.0,0.08,0.0,0.1,0.0,0.0,1.0
115.0,0.0,0.034783,0.0,0.12173900000000001,0.0,0.0,1.0
40.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0
27.0,0.0,0.0,0.148148,0.074074,0.0,0.0,1.0
58.0,0.0,0.0,0.0,0.068966,0.0,0.0,1.0
64.0,0.0,0.0,0.015625,0.109375,0.0,0.0,1.0
54.0,0.0,0.0,0.0,0.12963,0.018519,0.0,1.0
58.0,0.0,0.0,0.0,0.068966,0.0,0.0,1.0
81.0,0.0,0.0,0.012346,0.08642000000000001,0.0,0.0,1.0
51.0,0.0,0.078431,0.0,0.117647,0.019608,0.0,1.0
48.0,0.0,0.0,0.0,0.083333,0.0,0.0,1.0
52.0,0.0,0.076923,0.0,0.11538499999999999,0.0,0.0,1.0
43.0,0.0,0.0,0.069767,0.09302300000000001,0.0,0.0,1.0
108.0,0.0,0.037037,0.083333,0.12963,0.0,0.0,1.0
284.0,0.0,0.028169,0.042254,0.137324,0.0,0.0,1.0
9.0,0.0,0.0,0.333333,0.0,0.11111099999999999,0.0,1.0
27.0,0.0,0.074074,0.22222199999999998,0.0,0.0,0.0,1.0
14.0,0.0,0.0,0.14285699999999998,0.14285699999999998,0.07142899999999999,0.0,1.0
6.0,0.0,0.333333,0.333333,0.166667,0.166667,0.0,1.0
17.0,0.0,0.470588,0.235294,0.17647100000000002,0.117647,0.0,1.0
12.0,0.0,0.583333,0.083333,0.166667,0.0,0.0,1.0
83.0,0.0,0.40963900000000003,0.24096399999999998,0.13253,0.024096,0.0,1.0
0.0,0.0,0.40963900000000003,0.24096399999999998,0.13253,0.024096,0.0,1.0
81.0,0.0,0.061728,0.493827,0.0,0.0,0.08642000000000001,0.0
38.0,0.0,0.052632000000000005,0.605263,0.0,0.0,0.078947,0.0
495.0,0.0,0.367677,0.20202,0.0,0.0,0.018182,0.0
18.0,0.0,0.055555999999999994,0.833333,0.0,0.0,0.055555999999999994,0.0
12.0,0.0,0.083333,0.75,0.0,0.0,0.083333,0.0
22.0,0.0,0.318182,0.590909,0.0,0.0,0.090909,0.0
318.0,0.0,0.075472,0.41509399999999996,0.0,0.0,0.10691800000000001,0.0
108.0,0.0,0.083333,0.583333,0.0,0.0,0.083333,0.0
35.0,0.0,0.05714299999999999,0.657143,0.0,0.0,0.085714,0.0
48.0,0.0,0.083333,0.375,0.0,0.0,0.083333,0.0
94.0,0.0,0.265957,0.56383,0.0,0.0,0.10638299999999999,0.0
39.0,0.0,0.025641000000000004,0.230769,0.0,0.0,0.025641000000000004,0.0
33.0,0.0,0.151515,0.515152,0.0,0.0,0.090909,0.0
591.0,0.0,0.115059,0.407783,0.0,0.0033840000000000003,0.101523,0.0
273.0,0.0,0.07326,0.479853,0.0,0.0,0.12820499999999999,0.0
964.0,0.0,0.060166,0.40975100000000003,0.0,0.0,0.099585,0.0
358.0,0.0,0.083799,0.550279,0.002793,0.0,0.106145,0.0
524.0,0.0,0.188931,0.35686999999999997,0.0,0.0,0.177481,0.0
119.0,0.0,0.294118,0.218487,0.0,0.0,0.159664,0.0
